signal_date,trade_date,session,direction,direction_zh,total_score,tw_score,intl_score,news_score,entry_price,exit_price,pnl_points,pnl_nts,win,status
2019-10-23,2019-10-24,day,1,做多▲,9,9,0,0,11268,11319,51.3,463,True,sim_v50
2019-10-24,2019-10-25,day,1,做多▲,9,9,0,0,11338,11295,-42.5,-475,False,sim_v50
2019-10-25,2019-10-28,day,1,做多▲,7,7,0,0,11323,11314,-9.0,-140,False,sim_v50
2019-10-28,2019-10-29,day,1,做多▲,7,7,0,0,11348,11333,-15.5,-205,False,sim_v50
2019-10-29,2019-10-30,day,1,做多▲,7,7,0,0,11338,11379,41.3,363,True,sim_v50
2019-10-30,2019-10-31,day,1,做多▲,8,8,0,0,11395,11358,-37.0,-420,False,sim_v50
2019-10-31,2019-11-01,day,0,觀望─,6,6,0,0,,,,,,sim_v50_skip
2019-11-01,2019-11-04,day,1,做多▲,6,6,0,0,11453,11556,103.1,981,True,sim_v50
2019-11-04,2019-11-05,day,0,觀望─,6,6,0,0,,,,,,sim_v50_skip
2019-11-05,2019-11-06,day,0,觀望─,7,7,0,0,,,,,,sim_v50_skip
2019-11-06,2019-11-07,day,0,觀望─,7,7,0,0,,,,,,sim_v50_skip
2019-11-07,2019-11-08,day,1,做多▲,6,6,0,0,11622,11579,-43.3,-483,False,sim_v50
2019-11-08,2019-11-11,day,1,做多▲,5,5,0,0,11571,11426,-145.0,-1500,False,sim_v50
2019-11-11,2019-11-12,day,1,做多▲,7,7,0,0,11464,11519,55.0,500,True,sim_v50
2019-11-12,2019-11-13,day,1,做多▲,5,5,0,0,11484,11467,-17.4,-224,False,sim_v50
2019-11-13,2019-11-14,day,0,觀望─,1,1,0,0,,,,,,sim_v50_skip
2019-11-14,2019-11-15,day,0,觀望─,1,1,0,0,,,,,,sim_v50_skip
2019-11-15,2019-11-18,day,0,觀望─,2,2,0,0,,,,,,sim_v50_skip
2019-11-18,2019-11-19,day,0,觀望─,2,2,0,0,,,,,,sim_v50_skip
2019-11-19,2019-11-20,day,0,觀望─,3,3,0,0,,,,,,sim_v50_skip
2019-11-20,2019-11-21,day,1,做多▲,6,6,0,0,11575,11557,-17.6,-226,False,sim_v50
2019-11-21,2019-11-22,day,1,做多▲,5,5,0,0,11558,11566,8.0,30,True,sim_v50
2019-11-22,2019-11-25,day,1,做多▲,4,4,0,0,11592,11561,-31.2,-362,False,sim_v50
2019-11-25,2019-11-26,day,1,做多▲,1,1,0,0,11609,11576,-33.5,-385,False,sim_v50
2019-11-26,2019-11-27,day,1,做多▲,1,1,0,0,11592,11646,54.7,497,True,sim_v50
2019-11-27,2019-11-28,day,1,做多▲,5,5,0,0,11643,11616,-26.6,-316,False,sim_v50
2019-11-28,2019-11-29,day,0,觀望─,1,1,0,0,,,,,,sim_v50_skip
2019-11-29,2019-12-02,day,0,觀望─,-3,-3,0,0,,,,,,sim_v50_skip
2019-12-02,2019-12-03,day,0,觀望─,-5,-5,0,0,,,,,,sim_v50_skip
2019-12-03,2019-12-04,day,0,觀望─,-2,-2,0,0,,,,,,sim_v50_skip
2019-12-04,2019-12-05,day,0,觀望─,-3,-3,0,0,,,,,,sim_v50_skip
2019-12-05,2019-12-06,day,0,觀望─,2,2,0,0,,,,,,sim_v50_skip
2019-12-06,2019-12-09,day,0,觀望─,1,1,0,0,,,,,,sim_v50_skip
2019-12-09,2019-12-10,day,1,做多▲,6,6,0,0,11649,11627,-21.9,-269,False,sim_v50
2019-12-10,2019-12-11,day,1,做多▲,3,3,0,0,11636,11700,63.7,587,True,sim_v50
2019-12-11,2019-12-12,day,1,做多▲,6,6,0,0,11768,11835,67.4,624,True,sim_v50
2019-12-12,2019-12-13,day,1,做多▲,9,9,0,0,11939,11927,-12.2,-172,False,sim_v50
2019-12-13,2019-12-16,day,1,做多▲,8,8,0,0,11917,11939,22.2,172,True,sim_v50
2019-12-16,2019-12-17,day,1,做多▲,8,8,0,0,11941,12096,155.4,1504,True,sim_v50
2019-12-17,2019-12-18,day,1,做多▲,8,8,0,0,12062,12121,59.4,544,True,sim_v50
2019-12-18,2019-12-19,day,1,做多▲,7,7,0,0,12084,12018,-66.1,-711,False,sim_v50
2019-12-19,2019-12-20,day,1,做多▲,5,5,0,0,12003,11958,-44.5,-495,False,sim_v50
2019-12-20,2019-12-23,day,1,做多▲,6,6,0,0,11970,12021,51.1,461,True,sim_v50
2019-12-23,2019-12-24,day,1,做多▲,6,6,0,0,12025,11975,-49.4,-544,False,sim_v50
2019-12-24,2019-12-25,day,1,做多▲,6,6,0,0,11980,12007,27.2,222,True,sim_v50
2019-12-25,2019-12-26,day,1,做多▲,7,7,0,0,12019,12000,-19.4,-244,False,sim_v50
2019-12-26,2019-12-27,day,0,觀望─,5,5,0,0,,,,,,sim_v50_skip
2019-12-27,2019-12-30,day,0,觀望─,3,3,0,0,,,,,,sim_v50_skip
2019-12-30,2019-12-31,day,0,觀望─,3,3,0,0,,,,,,sim_v50_skip
2019-12-31,2020-01-02,day,1,做多▲,5,5,0,0,12028,12099,72.0,670,True,sim_v50
2020-01-02,2020-01-03,day,1,做多▲,6,6,0,0,12168,12109,-59.0,-640,False,sim_v50
2020-01-03,2020-01-06,day,1,做多▲,6,6,0,0,12037,11952,-84.3,-893,False,sim_v50
2020-01-06,2020-01-07,day,1,做多▲,1,1,0,0,11963,11879,-83.6,-886,False,sim_v50
2020-01-07,2020-01-08,day,0,觀望─,-6,-6,0,0,,,,,,sim_v50_skip
2020-01-08,2020-01-09,day,0,觀望─,-7,-7,0,0,,,,,,sim_v50_skip
2020-01-09,2020-01-10,day,0,觀望─,-4,-4,0,0,,,,,,sim_v50_skip
2020-01-10,2020-01-13,day,-1,做空▼,-1,-1,0,0,12069,12114,-45.8,-508,False,sim_v50
2020-01-13,2020-01-14,day,-1,做空▼,0,0,0,0,12161,12181,-20.1,-251,False,sim_v50
2020-01-14,2020-01-15,day,0,觀望─,5,5,0,0,,,,,,sim_v50_skip
2020-01-15,2020-01-16,day,0,觀望─,3,3,0,0,,,,,,sim_v50_skip
2020-01-16,2020-01-17,day,0,觀望─,2,2,0,0,,,,,,sim_v50_skip
2020-01-17,2020-01-20,day,0,觀望─,0,0,0,0,,,,,,sim_v50_skip
2020-01-20,2020-01-30,day,1,做多▲,5,5,0,0,11934,11421,-513.5,-5185,False,sim_v50
2020-01-30,2020-01-31,day,-1,做空▼,-8,-8,0,0,11493,11496,-3.1,-81,False,sim_v50
2020-01-31,2020-02-03,day,-1,做空▼,-9,-9,0,0,11365,11356,9.0,40,True,sim_v50
2020-02-03,2020-02-04,day,-1,做空▼,-9,-9,0,0,11398,11557,-158.5,-1635,False,sim_v50
2020-02-04,2020-02-05,day,-1,做空▼,-9,-9,0,0,11601,11575,25.9,209,True,sim_v50
2020-02-05,2020-02-06,day,-1,做空▼,-8,-8,0,0,11604,11751,-146.6,-1516,False,sim_v50
2020-02-06,2020-02-07,day,-1,做空▼,-6,-6,0,0,11712,11614,97.9,929,True,sim_v50
2020-02-07,2020-02-10,day,-1,做空▼,-8,-8,0,0,11514,11575,-61.4,-664,False,sim_v50
2020-02-10,2020-02-11,day,-1,做空▼,-9,-9,0,0,11613,11665,-51.8,-568,False,sim_v50
2020-02-11,2020-02-12,day,0,觀望─,-4,-4,0,0,,,,,,sim_v50_skip
2020-02-12,2020-02-13,day,0,觀望─,-4,-4,0,0,,,,,,sim_v50_skip
2020-02-13,2020-02-14,day,0,觀望─,-3,-3,0,0,,,,,,sim_v50_skip
2020-02-14,2020-02-17,day,0,觀望─,3,3,0,0,,,,,,sim_v50_skip
2020-02-17,2020-02-18,day,0,觀望─,-1,-1,0,0,,,,,,sim_v50_skip
2020-02-18,2020-02-19,day,0,觀望─,-2,-2,0,0,,,,,,sim_v50_skip
2020-02-19,2020-02-20,day,0,觀望─,6,6,0,0,,,,,,sim_v50_skip
2020-02-20,2020-02-21,day,0,觀望─,2,2,0,0,,,,,,sim_v50_skip
2020-02-21,2020-02-24,day,0,觀望─,0,0,0,0,,,,,,sim_v50_skip
2020-02-24,2020-02-25,day,0,觀望─,-7,-7,0,0,,,,,,sim_v50_skip
2020-02-25,2020-02-26,day,0,觀望─,-6,-6,0,0,,,,,,sim_v50_skip
2020-02-26,2020-02-27,day,0,觀望─,-7,-7,0,0,,,,,,sim_v50_skip
2020-02-27,2020-03-02,day,0,觀望─,-7,-7,0,0,,,,,,sim_v50_skip
2020-03-02,2020-03-03,day,-1,做空▼,-10,-10,0,0,11279,11329,-49.9,-549,False,sim_v50
2020-03-03,2020-03-04,day,-1,做空▼,-9,-9,0,0,11367,11393,-26.1,-311,False,sim_v50
2020-03-04,2020-03-05,day,-1,做空▼,-8,-8,0,0,11454,11516,-62.2,-672,False,sim_v50
2020-03-05,2020-03-06,day,-1,做空▼,-7,-7,0,0,11470,11323,147.6,1426,True,sim_v50
2020-03-06,2020-03-09,day,-1,做空▼,-9,-9,0,0,11221,10979,242.1,2371,True,sim_v50
2020-03-09,2020-03-10,day,-1,做空▼,-6,-6,0,0,10907,11005,-97.9,-1029,False,sim_v50
2020-03-10,2020-03-11,day,-1,做空▼,-9,-9,0,0,11022,10895,127.1,1221,True,sim_v50
2020-03-11,2020-03-12,day,-1,做空▼,-6,-6,0,0,10844,10423,421.1,4161,True,sim_v50
2020-03-12,2020-03-13,day,-1,做空▼,-6,-6,0,0,10090,10130,-39.8,-448,False,sim_v50
2020-03-13,2020-03-16,day,-1,做空▼,-7,-7,0,0,10068,9719,349.7,3447,True,sim_v50
2020-03-16,2020-03-17,day,0,觀望─,-7,-7,0,0,,,,,,sim_v50_skip
2020-03-17,2020-03-18,day,0,觀望─,-7,-7,0,0,,,,,,sim_v50_skip
